variable,maxent_contribution,maxent_permutation,brt_relative_influence
bio1,45.3111,35.3093,25.85125508891916
aridity_idx,39.1305,27.4963,31.513133038571095
bio15,8.9528,21.9669,26.89945654098332
bio12,2.5904,10.8894,8.020720115987203
bio7,4.0151,4.3381,7.715435215539222
